City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Jamestown,US,79.02,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
5,Ponta Do Sol,PT,81.23,clear sky,32.6667,-17.1,Hotel do Campo
6,Korla,CN,83.03,clear sky,41.7597,86.1469,Gulisitan Hotel
11,Hilo,US,85.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
18,Lazaro Cardenas,MX,86.49,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
19,Bengbu,CN,72.86,clear sky,32.9408,117.3608,Howard Johnson Nanshan Plaza
20,Kasese,UG,70.79,overcast clouds,0.1833,30.0833,Sandton Hotel Kasese
23,Taybad,IR,82.63,clear sky,34.74,60.7756,لی پوش jean center
27,Kapaa,US,84.18,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
28,Rikitea,PF,75.34,broken clouds,-23.1203,-134.9692,People ThankYou
30,Caravelas,BR,70.83,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
33,San Quintin,MX,74.03,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
34,Meadow Lake,US,91.78,few clouds,34.8014,-106.5436,TumbleWeed RV Park
40,Vila Franca Do Campo,PT,78.19,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
41,Omboue,GA,72.32,broken clouds,-1.5746,9.2618,Hotel Olako
44,Locri,IT,81.32,clear sky,38.2414,16.2623,Grand Hotel President
45,Georgetown,MY,81.9,thunderstorm,5.4112,100.3354,Cititel Penang
46,Sao Felix Do Xingu,BR,86.83,broken clouds,-6.6447,-51.995,Rio Xingu Camping
49,Butaritari,KI,82.18,few clouds,3.0707,172.7902,Isles Sunset Lodge
51,Surt,LY,80.33,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
52,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
53,Gulf Gate Estates,US,88.05,thunderstorm with light rain,27.2517,-82.5147,Best Western Plus Siesta Key Gateway
55,Lebanon,US,89.13,moderate rain,36.2081,-86.2911,Hampton Inn & Suites Lebanon
