City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bluff,NZ,-46.6,168.3333,44.8,89,100,22.62,overcast clouds
1,Cherskiy,RU,68.75,161.3,46.42,58,5,11.36,clear sky
2,Chuy,UY,-33.6971,-53.4616,59.63,96,92,6.06,overcast clouds
3,Jamestown,US,42.097,-79.2353,79.02,46,100,8.05,overcast clouds
4,Quatre Cocos,MU,-20.2078,57.7625,68.11,83,21,11.56,light rain
5,Ponta Do Sol,PT,32.6667,-17.1,81.23,55,4,6.93,clear sky
6,Korla,CN,41.7597,86.1469,83.03,20,0,4.23,clear sky
7,Bredasdorp,ZA,-34.5322,20.0403,50.79,93,99,5.84,overcast clouds
8,Upington,ZA,-28.4478,21.2561,53.98,58,11,4.61,few clouds
9,Waipawa,NZ,-41.4122,175.5153,48.29,96,100,8.95,light rain
10,Oksfjord,NO,70.2396,22.3479,62.67,98,100,2.59,overcast clouds
11,Hilo,US,19.7297,-155.09,85.28,94,75,8.05,moderate rain
12,Mahebourg,MU,-20.4081,57.7,69.26,88,40,6.91,scattered clouds
13,Mar Del Plata,AR,-38.0023,-57.5575,58.08,97,100,5.75,mist
14,Chebarkul,RU,54.9749,60.3633,59.02,98,93,8.01,overcast clouds
15,Cape Town,ZA,-33.9258,18.4232,56.12,83,75,3.44,broken clouds
16,Lebu,CL,-37.6167,-73.65,53.22,79,3,17.05,clear sky
17,Muros,ES,42.7762,-9.0603,67.68,71,5,14.32,clear sky
18,Lazaro Cardenas,MX,17.9583,-102.2,86.49,61,54,8.97,broken clouds
19,Bengbu,CN,32.9408,117.3608,72.86,86,0,1.81,clear sky
20,Kasese,UG,0.1833,30.0833,70.79,62,99,2.44,overcast clouds
21,Castro,BR,-24.7911,-50.0119,61.75,69,0,3.67,clear sky
22,Lyngseidet,NO,69.5763,20.2189,57.2,100,100,3.96,overcast clouds
23,Taybad,IR,34.74,60.7756,82.63,33,0,21.43,clear sky
24,Mataura,NZ,-46.1927,168.8643,44.47,97,100,7.02,overcast clouds
25,Saskylakh,RU,71.9167,114.0833,67.87,80,33,5.37,scattered clouds
26,Vestmannaeyjar,IS,63.4427,-20.2734,53.02,96,100,18.25,light rain
27,Kapaa,US,22.0752,-159.319,84.18,71,40,17.27,scattered clouds
28,Rikitea,PF,-23.1203,-134.9692,75.34,74,83,12.82,broken clouds
29,Ushuaia,AR,-54.8,-68.3,31.66,74,20,1.14,few clouds
30,Caravelas,BR,-17.7125,-39.2481,70.83,80,3,6.11,clear sky
31,Grindavik,IS,63.8424,-22.4338,54.07,100,100,14.97,moderate rain
32,Namibe,AO,-15.1961,12.1522,63.9,79,81,2.93,broken clouds
33,San Quintin,MX,30.4833,-115.95,74.03,64,14,12.55,few clouds
34,Meadow Lake,US,34.8014,-106.5436,91.78,34,11,10.04,few clouds
35,Albany,US,42.6001,-73.9662,79.05,52,100,9.1,overcast clouds
36,Marawi,PH,7.9986,124.2928,68.68,92,100,2.82,overcast clouds
37,Sheffield,GB,53.383,-1.4659,60.15,83,80,1.01,broken clouds
38,East London,ZA,-33.0153,27.9116,63.7,51,18,7.63,few clouds
39,Vila,PT,42.0304,-8.1588,61.7,68,0,4.25,clear sky
40,Vila Franca Do Campo,PT,37.7167,-25.4333,78.19,89,39,5.59,scattered clouds
41,Omboue,GA,-1.5746,9.2618,72.32,84,73,10.38,broken clouds
42,Nalut,LY,30.3333,10.85,86.94,11,0,8.99,clear sky
43,Zhangye,CN,38.9342,100.4517,67.98,40,1,9.42,clear sky
44,Locri,IT,38.2414,16.2623,81.32,84,0,13.15,clear sky
45,Georgetown,MY,5.4112,100.3354,81.9,87,20,0.0,thunderstorm
46,Sao Felix Do Xingu,BR,-6.6447,-51.995,86.83,39,72,3.18,broken clouds
47,Barrow,US,71.2906,-156.7887,35.62,93,100,16.11,moderate rain
48,Hualmay,PE,-11.0964,-77.6139,65.59,74,82,13.11,broken clouds
49,Butaritari,KI,3.0707,172.7902,82.18,74,11,19.37,few clouds
50,Barcelos,PT,41.5388,-8.6151,65.68,87,0,1.32,clear sky
51,Surt,LY,31.2089,16.5887,80.33,75,0,5.88,clear sky
52,Avarua,CK,-21.2078,-159.775,75.25,60,75,11.5,broken clouds
53,Gulf Gate Estates,US,27.2517,-82.5147,88.05,69,75,11.99,thunderstorm with light rain
54,Nome,US,64.5011,-165.4064,45.16,76,100,18.41,overcast clouds
55,Lebanon,US,36.2081,-86.2911,89.13,77,75,14.97,moderate rain
56,Glyadyanskoye,RU,54.9075,65.0883,65.1,86,100,3.67,overcast clouds
57,Bonthe,SL,7.5264,-12.505,76.01,83,59,7.45,broken clouds
58,Maneromango,TZ,-7.1988,38.7848,66.38,90,49,7.47,scattered clouds
59,Punta Arenas,CL,-53.15,-70.9167,35.71,69,0,9.22,clear sky
60,Margate,GB,51.3813,1.3862,63.3,72,100,1.99,overcast clouds
61,Vaini,TO,-21.2,-175.2,73.74,70,100,12.8,overcast clouds
62,Lake Mary,US,28.7589,-81.3178,87.85,83,40,6.91,scattered clouds
63,Carnarvon,AU,-24.8667,113.6333,62.2,46,0,9.1,clear sky
64,Sabang,ID,5.8933,95.3214,80.8,77,100,8.79,moderate rain
65,Shitanjing,CN,39.2342,106.3439,69.87,46,100,9.48,overcast clouds
66,Port Alfred,ZA,-33.5906,26.891,65.62,48,16,5.77,few clouds
67,Dong Hoi,VN,17.4833,106.6,79.3,77,3,3.33,clear sky
68,Leningradskiy,RU,69.3833,178.4167,33.93,98,100,8.37,light snow
69,Kahului,US,20.8947,-156.47,87.82,63,20,23.02,few clouds
70,Odweyne,SO,9.4092,45.064,75.42,36,84,19.28,broken clouds
71,Kamaishi,JP,39.2667,141.8833,74.44,92,95,2.84,overcast clouds
72,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,83,0,11.5,clear sky
73,Orzhytsya,UA,49.7918,32.7012,62.92,84,0,3.38,clear sky
74,Victoria,HK,22.2855,114.1577,86.38,77,0,5.99,clear sky
75,Qui Nhon,VN,13.7667,109.2333,77.85,87,85,3.36,overcast clouds
76,Uchiza,PE,-8.4592,-76.4633,79.25,74,55,1.86,broken clouds
77,Saint-Philippe,RE,-21.3585,55.7679,65.79,84,20,9.66,light rain
78,Ampanihy,MG,-24.7,44.75,59.14,81,0,3.69,clear sky
79,Batticaloa,LK,7.7102,81.6924,79.93,82,100,5.44,overcast clouds
80,Atuona,PF,-9.8,-139.0333,77.07,76,9,16.84,light rain
81,Dhari,IN,21.3333,71.0167,76.66,91,86,8.97,overcast clouds
82,Troitsko-Pechorsk,RU,62.7084,56.1964,48.47,77,77,1.95,broken clouds
83,Busselton,AU,-33.65,115.3333,48.51,85,0,6.89,clear sky
84,Husavik,IS,66.0449,-17.3389,54.0,77,98,4.61,overcast clouds
85,Half Moon Bay,US,37.4636,-122.4286,84.42,66,100,18.41,overcast clouds
86,Spring Hill,US,28.4769,-82.5255,87.64,94,100,4.61,thunderstorm with heavy rain
87,Rio Grande,BR,-32.035,-52.0986,62.71,93,67,9.24,broken clouds
88,Hobart,AU,-42.8794,147.3294,44.28,93,20,1.14,few clouds
89,Kavieng,PG,-2.5744,150.7967,82.45,71,96,12.59,overcast clouds
90,Yar-Sale,RU,66.8333,70.8333,48.15,89,100,8.28,overcast clouds
91,Oistins,BB,13.0667,-59.5333,84.29,65,40,19.57,scattered clouds
92,Hithadhoo,MV,-0.6,73.0833,80.83,75,100,13.58,overcast clouds
93,Bumba,CD,2.1833,22.4667,71.67,95,91,1.79,overcast clouds
94,Iqaluit,CA,63.7506,-68.5145,49.73,81,20,6.91,few clouds
95,Kenai,US,60.5544,-151.2583,57.29,64,0,19.57,clear sky
96,Tura,IN,25.5198,90.2201,72.14,90,53,2.91,broken clouds
97,Cabo San Lucas,MX,22.8909,-109.9124,95.61,55,20,12.66,few clouds
98,Havre-Saint-Pierre,CA,50.2334,-63.5986,62.96,77,0,14.97,clear sky
99,Nokaneng,BW,-19.6667,22.2667,61.27,34,2,6.82,clear sky
100,Pekan,MY,3.4836,103.3996,78.91,86,96,3.51,overcast clouds
101,Port Elizabeth,ZA,-33.918,25.5701,59.31,77,0,9.22,clear sky
102,Touros,BR,-5.1989,-35.4608,76.42,78,42,13.51,scattered clouds
103,Taoudenni,ML,22.6783,-3.9836,104.0,9,65,11.72,broken clouds
104,Upernavik,GL,72.7868,-56.1549,38.55,89,88,11.34,overcast clouds
105,Novopskov,UA,49.5464,39.0899,63.59,92,22,3.49,few clouds
106,Severo-Kurilsk,RU,50.6789,156.125,53.65,83,96,5.88,overcast clouds
107,Gravdal,NO,68.1214,13.5031,51.69,100,75,11.5,light rain
108,Kodiak,US,57.79,-152.4072,53.11,71,0,8.05,clear sky
109,Sur,OM,22.5667,59.5289,81.09,79,51,18.1,broken clouds
110,Padang,ID,-0.9492,100.3543,75.9,86,90,3.42,light rain
111,Ribeira Grande,PT,38.5167,-28.7,75.27,80,41,6.98,scattered clouds
112,Nikolskoye,RU,59.7035,30.7861,64.78,84,92,5.57,overcast clouds
113,Luderitz,NA,-26.6481,15.1594,55.4,83,39,4.43,scattered clouds
114,Kirakira,SB,-10.4544,161.9205,80.6,81,98,4.38,overcast clouds
115,Ancud,CL,-41.8697,-73.8203,52.23,91,90,9.33,moderate rain
116,New Norfolk,AU,-42.7826,147.0587,43.92,85,77,2.8,broken clouds
117,Zeya,RU,53.75,127.2667,67.62,78,0,3.53,clear sky
118,Izhma,RU,65.0083,53.9113,52.66,72,46,2.3,scattered clouds
119,Kapit,MY,2.0167,112.9333,73.13,100,100,0.89,light rain
120,Khatanga,RU,71.9667,102.5,67.41,55,81,8.86,broken clouds
121,Jalu,LY,29.0331,21.5482,85.84,36,5,16.08,clear sky
122,Tuatapere,NZ,-46.1333,167.6833,44.44,95,100,8.23,light rain
123,Qaanaaq,GL,77.484,-69.3632,44.02,64,23,4.25,few clouds
124,Bilma,NE,18.6853,12.9164,93.2,11,32,7.61,scattered clouds
125,Pevek,RU,69.7008,170.3133,34.47,83,80,6.98,broken clouds
126,Molos,GR,38.8167,22.65,79.97,55,0,1.45,clear sky
127,Tuktoyaktuk,CA,69.4541,-133.0374,62.6,67,100,23.02,overcast clouds
128,Sept-Iles,CA,50.2001,-66.3821,75.63,48,75,12.66,broken clouds
129,Cairns,AU,-16.9167,145.7667,66.07,94,40,10.36,scattered clouds
130,Spasskoye,RU,44.6108,132.7969,68.7,92,70,2.24,broken clouds
131,Rawson,AR,-43.3002,-65.1023,46.0,93,100,8.43,overcast clouds
132,Muir Of Ord,GB,57.5198,-4.4594,56.59,81,37,4.38,scattered clouds
133,Tiksi,RU,71.6872,128.8694,51.89,80,57,1.36,broken clouds
134,Norman Wells,CA,65.282,-126.8329,77.02,49,100,18.79,overcast clouds
135,Thompson,CA,55.7435,-97.8558,64.56,68,75,6.91,broken clouds
136,Klyuchi,RU,52.2667,79.1667,67.69,48,86,7.54,overcast clouds
137,Yeniseysk,RU,58.4497,92.1703,56.68,85,100,5.73,overcast clouds
138,Batemans Bay,AU,-35.7167,150.1833,51.1,68,17,6.93,few clouds
139,Mahanoro,MG,-19.9,48.8,63.84,90,12,3.78,few clouds
140,Amarpur,IN,25.0333,86.9,81.27,78,60,7.05,broken clouds
141,Bengkulu,ID,-3.8004,102.2655,75.36,88,100,3.6,overcast clouds
142,Naze,JP,28.3667,129.4833,74.32,77,3,6.67,clear sky
143,Rehoboth,NA,-23.3167,17.0833,56.88,21,1,9.73,clear sky
144,Sao Filipe,CV,14.8961,-24.4956,77.81,82,88,2.86,overcast clouds
145,Pimenta Bueno,BR,-11.6725,-61.1936,93.65,25,41,1.77,scattered clouds
146,Champerico,GT,14.3,-91.9167,86.54,71,42,7.18,scattered clouds
147,Cumana,VE,10.4635,-64.1775,81.43,79,96,9.19,overcast clouds
148,Cap Malheureux,MU,-19.9842,57.6142,68.47,77,2,4.0,clear sky
149,Severo-Yeniseyskiy,RU,60.3725,93.0408,53.62,96,100,4.56,light rain
150,Boldumsaz,TM,42.1282,59.671,78.85,36,0,5.44,clear sky
151,Vestmanna,FO,62.1564,-7.1664,49.12,100,100,5.75,overcast clouds
152,Andenes,NO,69.3143,16.1194,51.93,100,75,14.97,light rain
153,Formosa Do Rio Preto,BR,-11.0483,-45.1931,76.95,38,60,4.74,broken clouds
154,Wuxi,CN,31.5689,120.2886,79.99,88,58,4.45,broken clouds
155,Airai,TL,-8.9266,125.4092,53.08,70,85,4.12,overcast clouds
156,Puerto Ayora,EC,-0.7393,-90.3518,76.96,87,99,8.01,overcast clouds
157,Torbay,CA,47.6666,-52.7314,72.37,84,75,17.27,broken clouds
158,Tessalit,ML,20.1986,1.0114,98.92,9,27,4.43,scattered clouds
159,Radnevo,BG,42.3,25.9333,79.27,41,0,8.32,light rain
160,Ambilobe,MG,-13.2,49.05,68.83,81,94,3.0,overcast clouds
161,Warrnambool,AU,-38.3833,142.4833,52.32,90,64,12.59,broken clouds
162,Igarka,RU,67.4667,86.5833,52.2,85,42,4.36,scattered clouds
163,Lokoja,NG,7.8024,6.743,75.0,94,86,4.0,overcast clouds
164,San Julian,MX,21.0167,-102.1667,74.41,48,95,2.28,overcast clouds
165,Bethel,US,41.3712,-73.414,84.04,48,0,6.91,clear sky
166,Yellowknife,CA,62.456,-114.3525,72.12,46,20,6.91,few clouds
167,Bambous Virieux,MU,-20.3428,57.7575,69.22,83,19,12.01,light rain
168,Port Blair,IN,11.6667,92.75,81.07,82,100,3.38,overcast clouds
169,Faya,SA,18.3851,42.4509,66.31,68,100,7.02,overcast clouds
170,Kang,BW,-23.6752,22.7876,62.76,36,10,10.54,clear sky
171,Ondjiva,AO,-17.0667,15.7333,63.93,32,13,6.46,few clouds
172,Aklavik,CA,68.2191,-135.0107,65.44,38,100,16.73,overcast clouds
173,Zlobin,HR,45.2924,14.6541,70.9,47,0,3.44,clear sky
174,Keningau,MY,5.3378,116.1602,70.25,99,82,1.03,broken clouds
175,Ixtapa,MX,20.7,-105.2,86.23,74,100,6.91,overcast clouds
176,Havelock,US,34.8791,-76.9013,89.56,82,0,16.11,clear sky
177,Tangkak,MY,2.2673,102.5453,78.67,96,83,2.46,light rain
178,Mobara,JP,35.4167,140.3,82.38,84,74,10.13,broken clouds
179,Pangkalanbuun,ID,-2.6833,111.6167,73.33,99,99,1.97,overcast clouds
180,Jacmel,HT,18.2342,-72.5347,91.24,65,8,9.19,clear sky
181,Aketi,CD,2.7388,23.7833,71.13,97,100,0.98,overcast clouds
182,Columbus,US,39.9612,-82.9988,77.05,81,75,4.61,light rain
183,Lufilufi,WS,-13.8745,-171.5986,80.38,79,62,19.48,light rain
184,Dikson,RU,73.5069,80.5464,44.08,96,100,28.14,light rain
185,Nicoya,CR,10.1483,-85.452,82.98,70,62,0.98,broken clouds
186,Hermanus,ZA,-34.4187,19.2345,47.8,88,87,6.58,overcast clouds
187,Slobozia,MD,46.7281,29.7078,68.72,65,53,6.13,broken clouds
188,Sakakah,SA,29.9697,40.2064,89.17,13,0,12.97,clear sky
189,Eenhana,NA,-17.4667,16.3333,62.82,32,42,5.99,scattered clouds
190,Cockburn Town,TC,21.4612,-71.1419,82.65,78,3,18.66,clear sky
191,Meulaboh,ID,4.1363,96.1285,74.03,93,100,5.95,overcast clouds
192,Makakilo City,US,21.3469,-158.0858,82.72,59,100,11.5,overcast clouds
193,Belmonte,BR,-15.8631,-38.8828,71.83,75,7,9.28,clear sky
194,Kaitangata,NZ,-46.2817,169.8464,45.82,96,100,13.04,light rain
195,Segezha,RU,63.7415,34.3222,61.07,89,38,9.28,scattered clouds
196,Lorengau,PG,-2.0226,147.2712,81.23,80,87,8.08,overcast clouds
197,Pachino,IT,36.7186,15.0907,80.92,76,0,6.53,clear sky
198,Nova Venecia,BR,-18.7106,-40.4006,72.84,68,99,6.33,overcast clouds
199,Tilichiki,RU,60.4667,166.1,54.23,71,100,4.54,overcast clouds
200,Lavrentiya,RU,65.5833,-171.0,39.24,88,100,13.82,overcast clouds
201,Magadan,RU,59.5667,150.8,56.82,87,100,3.96,overcast clouds
202,Nouadhibou,MR,20.931,-17.0347,80.58,83,38,11.5,scattered clouds
203,Puerto Del Rosario,ES,28.5004,-13.8627,85.75,45,0,13.8,clear sky
204,Guaymas,MX,27.9333,-110.9,96.89,52,40,14.97,scattered clouds
205,Narsaq,GL,60.9167,-46.05,57.42,83,44,5.01,scattered clouds
206,Bubaque,GW,11.2833,-15.8333,79.97,77,100,10.92,overcast clouds
207,Comodoro Rivadavia,AR,-45.8667,-67.5,37.26,87,75,4.61,light rain
208,Urucara,BR,-2.5364,-57.76,84.07,64,96,3.06,overcast clouds
209,Vao,NC,-22.6667,167.4833,67.84,63,0,7.76,clear sky
210,Fort Nelson,CA,58.8053,-122.7002,83.79,39,75,8.05,broken clouds
211,Priargunsk,RU,50.3691,119.1012,63.54,96,48,7.83,scattered clouds
212,Afua,BR,-0.1567,-50.3867,77.52,90,100,4.47,overcast clouds
213,Granville,AU,-33.8333,151.0167,49.14,75,20,13.8,few clouds
214,Saint Anthony,US,45.0205,-93.218,76.24,85,100,6.91,mist
215,Nanortalik,GL,60.1432,-45.2371,44.91,91,77,4.25,broken clouds
216,Talnakh,RU,69.4865,88.3972,52.21,72,11,4.83,few clouds
217,Madang,PG,-5.2246,145.7966,77.05,91,100,1.28,overcast clouds
218,Egvekinot,RU,66.3167,-179.1667,44.4,58,82,2.04,broken clouds
219,Miajadas,ES,39.1513,-5.9084,81.79,29,0,12.19,clear sky
220,Alofi,NU,-19.0595,-169.9187,76.89,61,75,13.8,broken clouds
221,Ternate,ID,0.8,127.4,79.83,81,97,3.31,overcast clouds
222,Channel-Port Aux Basques,CA,47.5702,-59.1367,64.08,81,12,11.52,few clouds
223,Bam,IR,29.106,58.357,83.39,56,100,4.09,light rain
224,Lompoc,US,34.6391,-120.4579,84.34,67,0,14.97,clear sky
225,Villa Park,US,41.8898,-87.989,83.01,56,75,9.22,broken clouds
226,Pokhara,NP,28.2333,83.9833,71.47,92,100,2.44,overcast clouds
227,Anadyr,RU,64.75,177.4833,48.7,81,40,17.9,scattered clouds
228,Saint George,US,37.1041,-113.5841,94.78,38,0,4.61,clear sky
229,Male,MV,4.1748,73.5089,84.15,79,75,18.41,broken clouds
230,Keti Bandar,PK,24.1447,67.4497,81.79,86,100,10.09,overcast clouds
231,Te Anau,NZ,-45.4167,167.7167,42.04,98,100,2.86,overcast clouds
232,Kangaatsiaq,GL,68.3065,-53.4641,40.32,94,100,7.43,overcast clouds
233,Rantauprapat,ID,2.1,99.8333,72.34,95,96,1.81,overcast clouds
234,Cascais,PT,38.6979,-9.4215,70.93,72,0,23.0,clear sky
235,Lata,PT,40.1629,-8.3327,58.55,86,0,3.36,clear sky
236,Matam,SN,15.6175,-13.3303,89.6,62,0,2.3,clear sky
237,Codrington,AU,-38.2667,141.9667,51.71,94,78,9.28,broken clouds
238,Dongsheng,CN,39.8161,109.9776,68.09,51,100,6.44,overcast clouds
239,Knysna,ZA,-34.0363,23.0471,59.27,60,78,8.03,broken clouds
240,Ahipara,NZ,-35.1667,173.1667,56.52,75,98,15.32,overcast clouds
241,Goure,NE,13.9835,10.2704,90.01,39,60,13.44,broken clouds
242,Newcastle,AU,-32.9272,151.7765,50.72,75,5,20.71,clear sky
243,Kachug,RU,53.9606,105.8817,51.76,95,100,3.74,overcast clouds
244,Sibu,MY,2.3,111.8167,75.51,94,40,4.61,moderate rain
245,Ningxiang,CN,37.34,111.2052,64.81,95,100,2.84,light rain
246,Maroantsetra,MG,-15.4333,49.7333,67.23,87,51,0.89,broken clouds
247,Dire Dawa,ET,9.5931,41.8661,74.79,52,64,16.51,light rain
248,Qeshm,IR,26.9581,56.2719,84.09,86,100,6.85,moderate rain
249,Huarmey,PE,-10.0681,-78.1522,66.88,74,53,11.5,broken clouds
250,Port Keats,AU,-14.25,129.55,66.06,46,90,8.05,overcast clouds
251,Acapulco,MX,16.8634,-99.8901,87.62,66,75,6.91,broken clouds
252,Chokurdakh,RU,70.6333,147.9167,48.02,57,99,12.03,overcast clouds
253,Bara,NG,10.3744,10.7288,75.63,84,97,6.87,overcast clouds
254,Luxeuil-Les-Bains,FR,47.8171,6.365,65.82,55,95,3.44,overcast clouds
255,Tasiilaq,GL,65.6145,-37.6368,41.16,93,100,0.72,overcast clouds
256,Awbari,LY,26.5921,12.7805,84.92,13,7,7.25,clear sky
257,Orange,US,33.7,-117.7675,99.23,63,40,9.22,scattered clouds
258,Inirida,CO,3.8653,-67.9239,82.67,67,66,1.34,broken clouds
259,Ossora,RU,59.2353,163.0719,59.4,77,100,4.52,overcast clouds
260,Barinitas,VE,8.7622,-70.4111,72.88,90,80,1.28,broken clouds
261,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,85,31,10.98,scattered clouds
262,Tautira,PF,-17.7333,-149.15,74.41,87,100,12.06,light rain
263,Oussouye,SN,12.485,-16.5469,80.69,82,84,6.46,broken clouds
264,Pangnirtung,CA,66.1451,-65.7125,44.6,93,75,8.05,broken clouds
265,Labuhan,ID,-6.8844,112.2051,74.25,85,83,7.45,broken clouds
266,Constitucion,CL,-35.3333,-72.4167,54.7,87,94,8.93,overcast clouds
267,Yauya,PE,-8.9833,-77.3,55.42,60,84,7.16,light rain
268,Nuuk,GL,64.1835,-51.7216,45.21,87,75,8.05,broken clouds
269,Kandrian,PG,-6.2167,149.55,75.76,93,98,4.92,light rain
270,Vardo,NO,70.3705,31.1107,55.85,94,100,7.27,overcast clouds
271,Contamana,PE,-7.3333,-75.0167,80.56,88,12,3.2,few clouds
272,Tual,ID,-5.6667,132.75,79.23,79,37,23.64,scattered clouds
273,Biak,ID,-0.9131,122.8766,75.07,90,90,6.51,overcast clouds
274,Guanica,PR,17.9716,-66.908,87.13,79,20,12.91,few clouds
275,Zarubino,RU,42.63,131.0922,67.91,93,100,1.59,overcast clouds
276,Harper,LR,4.375,-7.7169,75.25,80,100,8.75,overcast clouds
277,Ilawa,PL,53.596,19.5685,62.78,80,94,10.07,overcast clouds
278,Astoria,US,46.1879,-123.8313,70.43,80,0,11.5,clear sky
279,Provideniya,RU,64.3833,-173.3,48.36,71,0,11.18,clear sky
280,Pisco,PE,-13.7,-76.2167,64.45,77,85,4.61,mist
281,Aragarcas,BR,-15.8975,-52.2508,88.45,35,0,0.0,clear sky
282,Mecca,SA,21.4267,39.8261,93.2,43,72,3.65,broken clouds
283,Komsomolskiy,UZ,40.4272,71.7189,83.12,36,5,4.61,clear sky
284,Muzhi,RU,65.3667,64.6667,54.86,72,100,11.97,overcast clouds
285,Sitka,US,57.0531,-135.33,60.69,88,100,0.0,overcast clouds
286,Viedma,AR,-40.8135,-62.9967,49.35,98,100,6.73,overcast clouds
287,Suba,PH,10.8438,121.0102,83.93,76,80,11.45,broken clouds
288,Areka,ET,7.0667,37.7,63.46,75,98,1.97,overcast clouds
289,Stephenville,US,32.2207,-98.2023,104.94,21,40,9.22,scattered clouds
290,Kirovskiy,RU,45.0917,133.5136,67.8,96,4,2.95,clear sky
291,Djibo,BF,14.1022,-1.6306,93.24,40,95,10.76,overcast clouds
292,Udachnyy,RU,66.4167,112.4,68.45,77,98,7.56,overcast clouds
293,Kota Belud,MY,6.351,116.4305,75.38,90,84,4.0,broken clouds
294,Kaduna,NG,10.5222,7.4383,72.72,90,100,5.26,overcast clouds
295,Mianyang,CN,31.4593,104.7542,77.85,87,72,4.65,broken clouds
296,Spirovo,RU,57.419,34.9766,65.48,80,66,1.45,broken clouds
297,Yulara,AU,-25.2406,130.9889,41.63,61,0,9.48,clear sky
298,Namatanai,PG,-3.6667,152.4333,79.34,77,90,6.38,overcast clouds
299,Poum,NC,-20.2333,164.0167,72.84,75,1,9.15,clear sky
300,Bajil,YE,15.0584,43.2851,90.77,43,100,12.3,overcast clouds
301,Raudeberg,NO,61.9875,5.1352,50.67,80,100,18.41,overcast clouds
302,Nuevo Progreso,MX,23.1667,-97.95,93.54,48,53,14.0,broken clouds
303,Mount Gambier,AU,-37.8333,140.7667,49.91,100,75,10.36,broken clouds
304,Gamba,GA,-2.65,10.0,70.03,89,56,5.12,broken clouds
305,Tocopilla,CL,-22.092,-70.1979,64.38,71,29,11.45,scattered clouds
306,Pasighat,IN,28.0667,95.3333,76.05,95,92,1.48,overcast clouds
307,Buraydah,SA,26.326,43.975,97.25,15,76,6.8,broken clouds
308,Coihaique,CL,-45.5752,-72.0662,35.55,75,100,0.0,overcast clouds
309,Dunedin,NZ,-45.8742,170.5036,46.36,96,100,11.12,overcast clouds
310,Limbang,MY,4.75,115.0,75.31,98,100,1.86,overcast clouds
